#;Municipio;Categoria Geral;Categoria / Tema / Atividade;Organização;;;;;;;;;;
47;Curitiba;SEGURANÇA;Crianças - contra-turno;Centro de Desenvolvimento Integral Recanto Esperança;;;;;;;;;;
48;Araucária;SERVIÇO;Drogadição;Associação Familiar Beneficente A Tribo dos Doze;;;;;;;;;;
49;Curitiba;SOCIAL;Mulheres - Acolhimento mulheres sobre câncer de mama;União das Muheres de Colombo;;;;;;;;;;
50;Curitiba;TRABALHO;Empreendedorismo/Empreendedores migrantes;Veneza Unidos Com Alegria;;;;;;;;;;
51;Curitiba;DIVERSOS;Social (roupas, comida, crianças e adultos;Projeto Vida Vida Promocao Social (Vps);;;;;;;;;;
52;Curitiba;DOCUMENTAÇÃO;Cultura;Associação Contigo Peru (ACP);;;;;;;;;;
53;Almirante Tamandaré;EDUCAÇÃO;Contra abuso e exploração de crianças e adolescentes;Instituto Boneca Feliz (Jethro International - Diplomacia Civil);;;;;;;;;;
54;Curitiba;HABITAÇÃO;Crianças e adolescentes - cuidados física e mentalmente;Projeto Dorcas;;;;;;;;;;
55;Curitiba;JUSTIÇA;Crianças e Adolescentes;Passos da Criança;;;;;;;;;;
56;Curitiba;SAÚDE;Crianças e Adolescentes;Fundação Iniciativa;;;;;;;;;;
57;Curitiba;SEGURANÇA;Parkinson;Associação Parkinson Paraná;;;;;;;;;;
58;Curitiba;SERVIÇO;Jovens - Apoio à inserção no Mercado de Trabalho;Instituto Semeando a Paz;;;;;;;;;;
59;Curitiba;SOCIAL;Comunidade - jiu-jitsu;ACV Associação Construindo Valores;;;;;;;;;;
60;Curitiba;TRABALHO;Comunidade - Educação, convivência e apoio socioemocional, para crianças, gestantes e idosos da comunidade do Caximba;Biblioteca Amigos do Caximba;;;;;;;;;;
61;Curitiba;DIVERSOS;Crianças e adolescentes;Instituto São Zygmunt;;;;;;;;;;
62;Curitiba;DOCUMENTAÇÃO;Esporte - Crianças e adolescentes;ACVP - Associação Curitiba de Vôlei de Praia.;;;;;;;;;;
63;Curitiba;EDUCAÇÃO;Prevenção abuso;Instituto Construindo um Lugar Seguro;;;;;;;;;;
64;Curitiba;HABITAÇÃO;Leite materno;Projeto Dora e Bia: Doe Leite Materno;;;;;;;;;;
65;Curitiba;JUSTIÇA;Refugiados - empregabilidade;ACNUR;;;;;;;;;;
66;Curitiba;SAÚDE;-;Federação dos Contabilistas do Estado do Paraná;;;;;;;;;;
67;Pinhais;SEGURANÇA;-;Igreja de Jesus Cristo dos Santos dos Últimos Dias (Mórmons);;;;;;;;;;
68;Curitiba;SERVIÇO;Empregabilidade;OIM;;;;;;;;;;
69;Curitiba;SOCIAL;Jovens e pessoas com deficiência. Desenvolvimento pessoal e profissional. Capacitação, empregabilidade e inclusão.;Unilehu;;;;;;;;;;
70;Curitiba;TRABALHO;;Sociedade Bíblica do Brasil;;;;;;;;;;
71;Apucarana;DIVERSOS;Moradia, Documentação, Assistência Social;Cáritas Diocesana de Apucarana;;;;;;;;;;
72;Campo Mourão;DOCUMENTAÇÃO;Moradia, Documentação, Assistência Social;Cáritas Diocesana de Campo Mourão;;;;;;;;;;
73;Cascavel;EDUCAÇÃO;Moradia, Documentação, Assistência Social;Cáritas Arquidiocesana de Cascavel;;;;;;;;;;
75;Foz do Iguaçu;HABITAÇÃO;;Casa do Migrante;;;;;;;;;;
76;Foz do Iguaçu;JUSTIÇA;Missionários;MEAB (Missão Evangélica Árabe do Brasil);;;;;;;;;;
77;Foz do Iguaçu;SAÚDE;;AJHASS - Associação des Jeunes Haitiens en Sciences de la Santé;;;;;;;;;;
78;Foz do Iguaçu;SEGURANÇA;Moradia, Documentação, Assistência Social;Cáritas Diocesana de Foz do Iguaçu;;;;;;;;;;
79;Foz do Iguaçu;SERVIÇO;;Associação de Venezuelanos em Foz do Iguaçu (ASOVENFI);;;;;;;;;;
80;Francisco Beltrão;SOCIAL;Moradia, Documentação, Assistência Social;Cáritas Dioc. de Palmas/Francisco Beltrão;;;;;;;;;;
81;Guarapuava;TRABALHO;Moradia, Documentação, Assistência Social;Cáritas Diocesana de Guarapuava;;;;;;;;;;
82;Jacarezinho;DIVERSOS;Moradia, Documentação, Assistência Social;Cáritas Diocesana de Jacarezinho;;;;;;;;;;
83;Londrina;DOCUMENTAÇÃO;Moradia, Documentação, Assistência Social;Cáritas Arquidiocesana de Londrina;;;;;;;;;;
84;Londrina ;EDUCAÇÃO;;Centro Regional de Pastoral do Migrante - Vl Nova;;;;;;;;;;
85;Maringá;HABITAÇÃO;defesa dos direitos sociais;Associação dos Estrangeiros Residentes na Região Metropolitana de Maringá-AERM;;;;;;;;;;
86;Maringá;JUSTIÇA;integração social, assistência humanitária e inclusão no mercado de trabalho;Instituto Sendas;;;;;;;;;;
87;Maringá;SAÚDE;defesa dos direitos sociais;Instituto Ethnos Brasil;;;;;;;;;;
88;Maringá;SEGURANÇA;;ASSOCIACAO HAITIANA NO ESTADO DO PARANA (AHEP);;;;;;;;;;
89;Maringá;SERVIÇO;Moradia, Documentação, Assistência Social;Cáritas Arquidiocesana de Maringá;;;;;;;;;;
90;Paranaguá;SOCIAL;Moradia, Documentação, Assistência Social;Cáritas Diocesana de Paranaguá;;;;;;;;;;
